join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], None]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [0, [16, 128], [[[1, 0, (-30, 48), (0, 0), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -48), (0, 0), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [1, [16, 128], [[[1, 0, (-30, 47), (0, -1), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -47), (0, 1), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [2, [16, 128], [[[1, 0, (-30, 45), (0, -2), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -45), (0, 2), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [3, [16, 128], [[[1, 0, (-30, 42), (0, -3), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -42), (0, 3), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [4, [16, 128], [[[1, 0, (-30, 38), (0, -4), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -38), (0, 4), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [5, [16, 128], [[[1, 0, (-30, 33), (0, -5), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -33), (0, 5), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [6, [16, 128], [[[1, 0, (-30, 27), (0, -6), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (30, -27), (0, 6), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [7, [16, 128], [[[1, 0, (-29, 21), (1, -6), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (29, -21), (-1, 6), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [8, [16, 128], [[[1, 0, (-27, 15), (2, -6), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (27, -15), (-2, 6), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [9, [16, 128], [[[1, 0, (-24, 9), (3, -6), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (24, -9), (-3, 6), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [10, [16, 128], [[[1, 0, (-20, 3), (4, -6), [64, 48, 14, 1], 0, 64, 1], None], [[0, 1, (20, -3), (-4, 6), [446, 0, 0, 1], 0, 64, 1], None]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [11, [16, 128], [[[1, 0, (-15, -3), (5, -6), [0, 0, 0, 0], 0, 64, 1], None], [[0, 1, (15, 3), (-5, 6), [0, 0, 0, 0], 0, 64, 1], None]]]]
