join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [0, [16, 128], [[[1, 0, (-48, 23), (0, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (48, -23), (0, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [1, [16, 128], [[[1, 0, (-47, 23), (1, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (47, -23), (-1, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [2, [16, 128], [[[1, 0, (-45, 23), (2, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (45, -23), (-2, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [3, [16, 128], [[[1, 0, (-42, 23), (3, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (42, -23), (-3, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [4, [16, 128], [[[1, 0, (-38, 23), (4, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (38, -23), (-4, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [5, [16, 128], [[[1, 0, (-33, 23), (5, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (33, -23), (-5, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [6, [16, 128], [[[1, 0, (-27, 23), (6, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (27, -23), (-6, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [7, [16, 128], [[[1, 0, (-20, 23), (7, 0), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (20, -23), (-7, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [8, [16, 128], [[[1, 0, (-13, 22), (7, -1), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (13, -22), (-7, 1), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [9, [16, 128], [[[1, 0, (-6, 20), (7, -2), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (6, -20), (-7, 2), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [10, [16, 128], [[[1, 0, (1, 17), (7, -3), [100, 10, 10, 1], 0, 64, 1], []], [[0, 1, (-1, -17), (-7, 3), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [100, 10, 10, 1]], [11, [16, 128], [[[1, 0, (8, 13), (7, -4), [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, (-8, -13), (-7, 4), [0, 0, 0, 0], 0, 64, 1], []]]]]
